127.0.0.1, 2014-09-05 20:46:12, GET, /, HTTP/1.1, 303, 0.001061
127.0.0.1, 2014-09-05 20:46:14, GET, /welcome/default/index, HTTP/1.1, 200, 1.908911
127.0.0.1, 2014-09-05 20:57:01, GET, /appadmin/default/index, HTTP/1.1, 404, 0.000671
127.0.0.1, 2014-09-05 20:57:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000372
127.0.0.1, 2014-09-05 20:57:09, GET, /admin/default/index, HTTP/1.1, 200, 0.312504
127.0.0.1, 2014-09-05 20:57:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000311
127.0.0.1, 2014-09-05 20:57:14, POST, /admin/default/index, HTTP/1.1, 303, 0.019246
127.0.0.1, 2014-09-05 20:57:14, GET, /admin/default/site, HTTP/1.1, 200, 0.025987
127.0.0.1, 2014-09-05 20:57:14, GET, /admin/static/images/small_button.png, HTTP/1.1, 304, 0.007850
127.0.0.1, 2014-09-05 20:57:14, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 304, 0.007224
127.0.0.1, 2014-09-05 20:57:14, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 304, 0.007054
127.0.0.1, 2014-09-05 20:57:14, GET, /admin/static/images/folder.png, HTTP/1.1, 304, 0.008309
127.0.0.1, 2014-09-05 20:57:14, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 304, 0.009411
127.0.0.1, 2014-09-05 20:57:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000374
127.0.0.1, 2014-09-05 20:57:25, GET, /admin/default/twitter.load, HTTP/1.1, 200, 10.848590
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/default/index, HTTP/1.1, 200, 0.212917
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001281
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001185
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/css/skeleton.css, HTTP/1.1, 200, 0.001020
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000540
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002996
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.023210
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000420
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/css/superfish.css, HTTP/1.1, 200, 0.000372
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000366
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/js/superfish.js, HTTP/1.1, 200, 0.000257
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.013658
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/images/book-4th.png, HTTP/1.1, 200, 0.000451
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000400
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000903
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/images/tag-cloud-color-small.png, HTTP/1.1, 200, 0.000450
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.000394
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/images/poweredby.png, HTTP/1.1, 200, 0.000449
127.0.0.1, 2014-09-05 20:57:26, GET, /examples/static/images/back-02.png, HTTP/1.1, 200, 0.000474
127.0.0.1, 2014-09-05 20:57:28, GET, /admin/default/site, HTTP/1.1, 200, 0.025040
127.0.0.1, 2014-09-05 20:57:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000236
127.0.0.1, 2014-09-05 20:57:44, GET, /admin/default/twitter.load, HTTP/1.1, 200, 15.983572
127.0.0.1, 2014-09-05 20:57:48, POST, /admin/default/site, HTTP/1.1, 303, 0.040218
127.0.0.1, 2014-09-05 20:57:48, GET, /admin/default/design/calender, HTTP/1.1, 200, 0.100267
127.0.0.1, 2014-09-05 20:57:48, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.001203
127.0.0.1, 2014-09-05 20:57:48, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000699
127.0.0.1, 2014-09-05 20:57:48, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.002932
127.0.0.1, 2014-09-05 20:57:48, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.000719
127.0.0.1, 2014-09-05 20:57:48, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 304, 0.000424
127.0.0.1, 2014-09-05 20:57:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000277
